"id_player","score_raw_total","score_adj_total","rank_total","game_total"
"464920387545858069",475200,95200,38,17
"645613753114558474",397800,-2200,40,16
"372123318167273502",143700,-36300,18,7
"1146936730239381675",99800,-60200,16,5
"576031405037977600",378800,68800,31,14
"719898392180031552",321900,-3100,33,13
"615005595312848941",440700,-79300,52,19
"1165813610019299378",495200,55200,44,18
"667926181089378304",190100,-74900,26,9
"377485984721403914",452000,-28000,48,19
"459175013707284499",31100,11100,2,1
"251814218846699521",393500,203500,19,11
"1102379478900027553",54300,-55700,11,3
"255112104472739842",90900,30900,6,3
"368907061339095042",491000,101000,39,17
"425745340214542336",11100,-28900,4,1
"230840628467073025",17800,-42200,6,2
"1283939192690442293",693400,253400,44,22
"562385036188319774",95500,-54500,15,5
"1171839820839002183",176600,16600,16,7
"311304714555883531",205200,-14800,22,8
"518136742583336960",121800,41800,8,4
"719885824166068226",65600,-54400,12,4
"1016488492655718460",153600,-86400,24,8
"449771189817049088",49300,-30700,8,3
"598179182857420815",96700,26700,7,3
"347744983639523328",161300,-188700,35,11
"365903673966198814",22000,-8000,3,1
"403970516727103488",193800,43800,15,7
"721190517383233536",87500,17500,7,3
"338136869579522059",20800,-9200,3,1
"681677002721591338",132300,-17700,15,6
"270234969744343041",64500,-25500,9,3
"222178684818292736",30200,20200,1,1
"259487411728285696",224700,-15300,24,9
"296791540616134657",54200,14200,4,2
"511745993029451776",12000,-8000,2,1
"1123543559816105996",48700,8700,4,2
"762472529947262977",59900,-30100,9,3
"1080151305751896114",57900,7900,5,2
"1267504020847853639",56700,-23300,8,3
"210789951728517120",76600,6600,7,3
"286613756098904065",800,-39200,4,1
"228274365089841162",20400,-19600,4,1
"645434212639571971",33100,13100,2,1